Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
4-PP,293.15,101325.0,4.817023581303999,1.6121388522170508,0.5379915628873277,3.744467716416693,-130848.1152311159,-130844.37076339948,-2.553417348550284
IS1,293.15,101325.0,5.196855507096,1.3677853482790507,0.5173351509147324,4.34799673417001,-130864.6365700398,-130860.28857330563,
IS2,293.15,101325.0,5.289352237664,1.5218720180154273,0.5585643397207605,4.327635983820073,-130880.50117350684,-130876.17353752302,
IS3,293.15,101325.0,5.445123851684,1.6265777107638244,0.5915103293664288,4.41164789472532,-130896.21467147894,-130891.80302358422,
IS4,293.15,101325.0,4.747740924168001,2.896592759984025,0.8122459454170894,2.664985534051084,-130911.41515636038,-130908.75017082633,
IS5,293.15,101325.0,5.051495365224,2.926488077019885,0.8155505245085806,2.9421492371620843,-130928.02990108052,-130925.08775184336,
PC+OH,293.15,101325.0,5.727831309596,3.3880680295051984,0.9000073673669249,3.241362071901676,-130977.92821895488,-130974.68685688298,
H,293.15,101325.0,0.7319709285680001,6.284342343743794e-09,5.980837158858776e-09,0.7335623527033022,-128707.46139912884,-128706.72783677613,
H2,293.15,101325.0,1.065799772488,0.0001128304142334,0.0001011995918815,1.0673795661132317,-128723.33293918578,-128722.26555961967,
PC,293.15,101325.0,4.773177502016,3.1917466508662,0.8466747741331346,2.4296970497380244,-130504.19711055946,-130501.76741350972,-1.0755730773234973
