Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
FF,293.15,101325.0,1.615318464496,0.696583728843141,0.2943321692364407,1.215570566644601,-44452.810479472144,-44451.5949089055,-2.7529125752625987
IS,293.15,101325.0,1.82189158008,0.837878975718396,0.3298124155116966,1.3163286816343316,-44469.41486903622,-44468.098540354586,
FA,293.15,101325.0,1.885807605572,1.0886515201982945,0.3879120521160075,1.1875717992443242,-44485.08701305195,-44483.8994412527,-2.439738391032733
IS1,293.15,101325.0,2.088815817968,1.0869309636420763,0.397826911546872,1.4022154276317451,-44501.71217918789,-44500.30996376026,
IS2,293.15,101325.0,2.24909694174,1.209444265332542,0.430355887125188,1.4725122252930305,-44517.8254604171,-44516.35294819181,
IS3,293.15,101325.0,2.275120792296,1.572462329846525,0.5008313941652887,1.2059935183788184,-44533.51930061341,-44532.31330709503,
THFA,293.15,101325.0,2.397565200756,1.769569637633693,0.5473657354232273,1.1778649603074882,-44549.27911753105,-44548.10125257074,-1.1081721791415475
H,293.15,101325.0,0.339106388192,0.0001465397441273,0.0001303029275732,0.3415938131365692,-42678.09879056169,-42677.75719674856,
H2,293.15,101325.0,0.627775602652,0.0034202027434825,0.0027751055822591,0.6296341672496055,-42694.23984985184,-42693.61021568459,
MF,293.15,101325.0,1.79386129802,0.8723199108380046,0.3395440067688469,1.2635890557139646,-44044.93272006444,-44043.669131008726,-2.2029698896294576
FU,293.15,101325.0,2.8686869681800005,2.113723410733596,0.7178664852617658,1.47533370446763,-46243.3575096798,-46241.882175975334,-4.4303314397111535
HF,293.15,101325.0,3.2151765217,2.635099939361844,0.7895212204093696,1.3721014645052492,-46275.96811701115,-46274.596015546646,-4.27502731106506
