Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
FF,293.15,101325.0,3.1123140403960003,0.3197252962479792,0.1670657967770239,2.9612459653726546,-130481.83537013922,-130478.87412417385,-2.4412634530453943
IS,293.15,101325.0,3.346605910384,0.3908111425368798,0.1949910920520778,3.152377284335671,-130497.7925377544,-130494.64016047007,
FA,293.15,101325.0,3.22012279512,0.6860089038356842,0.2849787046870915,2.820684020407498,-130513.7037075184,-130510.883023498,-1.7198930681915954
IS1,293.15,101325.0,3.493374105892,0.6421447411283354,0.2829326956853037,3.1357534848939395,-130530.130261301,-130526.99450781611,
IS2,293.15,101325.0,3.4589105177880004,0.9156988072562188,0.355370052770013,2.9001731877506245,-130546.04312592604,-130543.14295273829,
IS3,293.15,101325.0,3.639799338076,0.9406964868650172,0.3751130976015702,3.075807373257703,-130562.41904667031,-130559.34323929706,
THFA,293.15,101325.0,3.4941942354,1.5215466967415217,0.4771554715844104,2.451394434698159,-130578.71723115769,-130576.26583672299,-1.2097460164659424
H,293.15,101325.0,0.7319709285680001,6.284342343743794e-09,5.980837158858776e-09,0.7335623527033022,-128707.46139912884,-128706.72783677613,
H2,293.15,101325.0,1.065799772488,0.0001128304142334,0.0001011995918815,1.0673795661132317,-128723.33293918578,-128722.26555961967,
MF,293.15,101325.0,3.186412434656,0.4613079875706081,0.2161318671278422,2.9428277386614354,-130073.63482208508,-130070.69199434642,-1.5685321209748508
FU,293.15,101325.0,4.8266585732200005,1.455680099698648,0.5506430207169615,3.923212918714853,-132271.99261346378,-132268.06940054506,-3.72889543439669
HF,293.15,101325.0,4.508459485112001,2.950980788253446,0.776724788651336,2.335794909973629,-132303.39650204507,-132301.0607071351,-2.36687255569268
